url_api,tahun,kode_daerah
https://isb.lkpp.go.id/isb-2/api/4cf1694f-5bd9-4560-bc29-dbcab4ba98d4/json/3352/Bela-TokoDaringRealisasi/tipe/12:4/parameter,D197,"2022
"
https://isb.lkpp.go.id/isb-2/api/4cf1694f-5bd9-4560-bc29-dbcab4ba98d4/json/3352/Bela-TokoDaringRealisasi/tipe/12:4/parameter,D197,"2023
"
https://isb.lkpp.go.id/isb-2/api/eeb14303-22d7-4193-8793-60bbfdb468fe/json/3330/Ecat-PaketEPurchasing/tipe/4:12/parameter,2022,"D197
"
https://isb.lkpp.go.id/isb-2/api/eeb14303-22d7-4193-8793-60bbfdb468fe/json/3330/Ecat-PaketEPurchasing/tipe/4:12/parameter,2023,"D197
"
